sentence_original,sentence_simplified,sentence_manual
"Quien hubiere perdido una yegua que se halló en el término del Lugar de Ballecas el dia 9 del pasado, acuda al Sr. Alcalde de la Hermandad D. Nicolas Humanes que dando las señas la entregará.","Si alguien perdió una yegua que encontró en el área de Ballecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si das las características.","Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal."
"Entre 7 y 8 de la mañana del 29 del pasado setiembre se extravió del portal de la calle Mayor, núm. 7, una burra de leche, pelo rubio, aparejada, con una matadura en la espaldilla izquierda, y herrada en el hocico.","El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva aparejo, tiene una herida en la espalda izquierda y está marcada en el hocico.","El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico."
"baxo entrando en su portal á mano derecha una partida de hilos de Galicia, de todas clases para coser y hacer calcetas, y se dará con toda equidad.","Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.","Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa."
"en monedes de plata, y oro; quien le haya encontrado le entregará en Madrid en casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa n. 11 frente á la Iglesia de la Buenadicha, donde darán el hallazgo.","El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.","El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro."
"En la calle de Chinchilla, esquina á la de la Abada, enfrente del viller, se hallan unas algalias de goma elástica y candelillas emp áslicas, unas y otras mui eficaces para la curacion de los que padecen mal de orina.","En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller, se encuentran unas almohadillas de goma elástica y velas de cera sintética, ambas muy eficaces para tratar a aquellos que sufren de problemas urinarios.","En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller, se encuentran algalias de goma elástica y candelillas, instrumentos muy eficaces para tratar a aquellos que sufren de problemas urinarios."
"7.º Que el remate del Almanake ha de celebrarse el dia 8 de este mes á las doce de su mañana en la auditoría de Guerra de esta plaza, cale del Principe, á presencia del Sr. auditor D. Benito Salinas, comisionado por n para el efecto, en la inteligencia que desde hoy se admitiran las bosturas que se hiciesen siendo arregladas á lo anteriormente prevenido, y deberál egecutarse por mallo de D Custodio Eupiquez, escribano principal de este juzgado militar y de la comisión.","El remate del Almanake se llevará a cabo el día 8 de este mes a las doce de la mañana en la auditoría de Guerra de esta plaza, en la calle del Príncipe, en presencia del Sr. auditor D. Benito Salinas, comisionado para este fin. A partir de hoy se aceptarán las ofertas que cumplan con las instrucciones previas. La ejecución estará a cargo de D. Custodio Eupiquez, escribano principal de este juzgado militar y de la comisión.","7.º El remate del Calendario se llevará a cabo el día 8 de este mes a las doce de la mañana en la auditoría de Guerra de esta plaza, en la calle del Príncipe. Se hará en presencia del Sr. auditor D. Benito Salinas. A partir de hoy se aceptarán las ofertas que cumplan con las instrucciones previas. La ejecución estará a cargo de D. Custodio Eupiquez, notario principal de este juzgado militar y de la comisión."
"Ben-Mogheiran refiere en su libro intitulado el Nighiaristan, que habiendo venido á una extrema indigencia, dejó la Ciudad de Damasco, su Pays y en donde residia, y pasó á establecerse con sus hijos á Bagdad, Ciudad de la Turquia Asiatica, en tiempo que el celebre Fadhel ben Jahia era el mayor privado del califa Harounal-Raschild.","Ben-Mogheiran cuenta en su libro llamado el Nighiaristan que, debido a su gran pobreza, dejó la ciudad de Damasco, su país y el lugar donde vivía, y se mudó con sus hijos a Bagdad, una ciudad de Turquía en Asia. Esto ocurrió durante el reinado del famoso Fadhel ben Jahia, quien era el principal consejero del califa Harounal-Raschild.","Ben-Mogheiran cuenta en su libro llamado el Nighiaristan que, debido a su gran pobreza, dejó la ciudad de Damasco, su país y el lugar donde vivía, y se mudó con sus hijos a Bagdad, una ciudad de la Turquia Asiatica. Esto ocurrió durante el reinado del famoso Fadhel ben Jahia, quien era consejero del califa Harounal-Raschild."
"Quien quisiere tratar de comprarlas á dinero metálico ó vales reales, acadirá á la calle de Ministriles, casa num 24, quarto principal, donde se le informará de la cabida y parages nonde se hallan dichas tierras.","Si alguien quiere comprar las tierras con dinero en efectivo o vales reales, puede ir a la calle de Ministriles, casa número 24, cuarto principal. Allí le informarán sobre la cantidad y ubicación de las tierras.","Si alguien quiere comprar las tierras con dinero en efectivo o vales reales, puede ir a la calle de Ministriles, casa número 24, cuarto principal. Allí le informarán sobre la cantidad y ubicación de las tierras."
"Un matrimonio jóven, sin hijos, que el marido escribe y cuenta bien, y la muger cose y plancha, y ambos guisan á la española, inglesa é italiana, desea colocarse dentro ó fuera de esta corte: tiene personas que abonen su conducta.","Un matrimonio joven, sin hijos, donde el marido tiene habilidades para escribir y contar, y la mujer se dedica a coser y planchar, y ambos saben cocinar al estilo español, inglés e italiano, desean encontrar empleo dentro o fuera de esta ciudad. Tienen referencias que pueden respaldar su buen comportamiento.","Un matrimonio joven, sin hijos, donde el marido tiene habilidades para escribir y contar, y la mujer se dedica a coser y planchar, y ambos saben cocinar al estilo español, inglés e italiano, desean encontrar empleo dentro o fuera de esta ciudad. Tienen referencias que pueden respaldar su buen comportamiento."
"Calpurnia, muger de Julio Cesar, é hija de Pison, soñó que asesinaban en sus mismos brazos á su marido, víspera de la muerte de aquel hombre ilustre; á lo que se añadió que luego que se desperto se abrió la puerta del quarto en que dormian, haciendo un gran ruido.","Calpurnia, esposa de Julio César y hija de Pison, tuvo un sueño en el que veía a su marido siendo asesinado en sus propios brazos, justo antes de la muerte de ese famoso hombre. Además, al despertar, la puerta de la habitación en la que dormían se abrió con un fuerte ruido.","Calpurnia, esposa de Julio César y hija de Pison, tuvo un sueño en el que veía a su marido siendo asesinado en sus propios brazos, justo antes de la muerte de ese famoso hombre. Además, al despertar, la puerta de la habitación en la que dormían se abrió con un fuerte ruido."
"D. Felipe Fernandez, que vive calle del Medio dia grande n. 8 qto. principal casa que llaman del Sol, copiará de buena letra quanto se le encargue, á real el pliego de 21 lineas por llana, y á real y med. los que lleven 25, en lo que se promete dar gusto á las personas que le favorezcan, sirviendoles con la mayor brevedad. ","Don Felipe Fernández, quien reside en la calle del Mediodía Grande número 8, planta principal de la casa conocida como del Sol, se encargará de copiar con buena caligrafía todo lo que se le encomiende. Cobrará un real por cada pliego de 21 líneas escritas a una sola cara y un real y medio  los que lleven 25, en lo que se promete dar gusto á las personas que le favorezcan, sirviendoles con la mayor brevedad. ","Don Felipe Fernández, quien reside en la calle del Mediodía Grande número 8, planta principal de la casa conocida como del Sol, se encargará de copiar con buena caligrafía todo lo que se le encomiende. Cobrará un real por cada pliego de 21 líneas escritas a una sola cara y un real y medio los que lleven 25. Se compromete a dar un buen servicio, sirviendoles con la mayor brevedad. "
"Una señora de honor con criado y criada desea vivir en compañia de otra de las mismas circunstancias, ó Señor Sacerdote: pagando el quarto á medias: en la inteligencia que sus criados servirán á los dos en lo que se ofrezca á quien le acomode este partido, podrá avisar al criado del Sr. A iministrador de este Periódico, carrera de San Gerónimo.","Una mujer honorable con un sirviente y una sirvienta desea vivir en compañía de otra mujer en las mismas circunstancias. Señor Sacerdote, pagando la habitación a medias, con la comprensión de que sus sirvientes servirán a los dos en lo que sea necesario. Puede informar al sirviente del Sr. Administrador de este Periódico, ubicado en la Carrera de San Gerónimo.","Una mujer honorable con un sirviente y una sirvienta desea vivir en compañía de otra mujer o un Señor Sacerdote en las mismas circunstancias. Se pagará la habitación a medias, con la comprensión de que sus sirvientes servirán a los dos en lo que sea necesario. Puede informar al sirviente del Sr. Administrador de este Periódico, ubicado en la Carrera de San Gerónimo."
"Venta pública, calle de la Concepcion Gerónima, núm. 9, efectos que se han de vender hoy 1.º del corriente: una caja de costura para señora, hecha en la China, un pañuelo manton merino negro de dos varas en cuadro, cuatro grabados de flores muy bien iluminadas propias para copiar cualquiera que se dedique al dibujo, una almoadilla de costura de caoba para señora, un buen pulpitre de caoba, un jarro y palancana de china que se dará en un precio moderado, dos escopetas de dos cañones, la una francesa y la otra española, un anteojo muy bueno, dos espadas doradas, una coleccion completa de estampas de caza, y dos Concepciones y una Do orosa, pintadas al olio, de un tamaño regular.","Hoy, en la calle de la Concepción Gerónima número 9, se llevará a cabo una venta pública con los siguientes artículos: una caja de costura hecha en China para señora, un pañuelo mantón negro de merino de dos varas cuadradas, cuatro grabados de flores muy bien iluminadas ideales para copiar para aquellos dedicados al dibujo, una almohadilla de costura de caoba para señora, un buen escritorio de caoba, un jarrón y una palangana de porcelana china a un precio razonable, dos escopetas de dos cañones, una francesa y otra española, un anteojo de buena calidad, dos espadas doradas, una colección completa de estampas de caza, y dos pinturas al óleo de tamaño regular: una de la Concepción y otra de la Virgen Dolorosa.","Hoy, en la calle de la Concepción Gerónima número 9, se llevará a cabo una venta pública con los siguientes artículos: una caja de costura hecha en China para señora, un pañuelo mantón negro de merino de dos varas cuadradas, cuatro grabados de flores muy bien iluminadas ideales para copiar para aquellos dedicados al dibujo, una almohadilla de costura de caoba para señora, un buen escritorio de caoba, un jarrón y una palangana de china a un precio razonable, dos escopetas de dos cañones, una francesa y otra española, un anteojo muy bueno, dos espadas doradas, una colección completa de estampas de caza, y dos pinturas al óleo de tamaño regular: una de la Concepción y otra de la Virgen Dolorosa."
"Perdona, respetable joven, exclamó mi padre mirandole con agrado y amistad: he sido demasiado precipitado en mi juicio; pero cómo posees el secreto de enternecermel sigue, sigue tu relación.","Perdona, joven respetable -dijo mi padre con agrado y amistad-, he sido muy apresurado en mi opinión; pero cómo logras conmoverme, por favor, continúa con tu historia.","Perdona, joven respetable -dijo mi padre con agrado y amistad-, he sido muy apresurado en mi opinión; pero cómo logras conmoverme, por favor, continúa con tu historia."
"Se ha perdido el dia 30 del pasado una capa de camelote, desde la Carbonería de la plazuela de la Leña, hasta la calle del Soldado; quien la hubiese encontrado, la entregará en la taberna de dicha calle frente de la fuentecilla, donde darán el hallazgo.","El día 30 del mes pasado se perdió una capa de baja calidad desde la tienda de carbón en la pequeña plaza de la Leña hasta la calle del Soldado. La persona que la encuentre deberá entregarla en la taberna de dicha calle, frente a la fuente, donde se recompensará el hallazgo.","El día 30 del mes pasado se perdió una capa impermeable, entre la Carbonería de la plazuela de la Leña, hasta la calle del Soldado. La persona que la encuentre deberá entregarla en la taberna de dicha calle, frente de la fuentecilla."
"De mi retiro he salido tan solo, Señor, por ver nsa deldad ó muger que del Brasil ha venido: 794 to logré; y á el cielo pido con todo mi corazon bendiga tan bella union, consuele nuestra esperanza con Isabel de Braganza y Fernando de Borbon.","He salido de mi retiro solo, Señor, para ver a una dama que ha venido de Brasil. Lo conseguí; y le pido al cielo con todo mi corazón que bendiga esta hermosa unión, que consuele nuestra esperanza con Isabel de Braganza y Fernando de Borbon.","He salido de mi retiro solo, Señor, para ver a una dama que ha venido de Brasil. Lo conseguí; y le pido al cielo con todo mi corazón que bendiga esta hermosa unión, que consuele nuestra esperanza con Isabel de Braganza y Fernando de Borbon."
"El 26 amanecieron estos miserables con sus esperanzas algo amortiguadas, y se consternaron prodigiosamente al ver el numeroso convol de ministros, empleados, y toda especie de opresores que, llenos de amargura, dolor y abatimiento, dexaban sus casas y familias, tal vez para no volver á verlas jamas; pero sin embargo ostentaban un orgullo afectado que intimido á aquellos espíritus débiles que en todo ven y de todo deducen consecuencias funestas.","El 26 de amanecieron estos pobres con sus esperanzas algo disminuidas, y se sorprendieron enormemente al ver el numeroso grupo de ministros, empleados y todo tipo de opresores que, llenos de amargura, dolor y tristeza, dejaban sus casas y familias, tal vez para no volver a verlas nunca más. Sin embargo, ostentaban un orgullo fingido que asustaba a aquellos espíritus débiles que ven todo de manera negativa y sacan conclusiones desastrosas.","El 26 amanecieron estos miserables con sus esperanzas algo disminuidas, y se sorprendieron enormemente al ver el numeroso grupo de ministros, empleados y todo tipo de opresores que, llenos de amargura, dolor y tristeza, dejaban sus casas y familias, tal vez para no volver a verlas nunca más. Sin embargo, ostentaban un orgullo fingido que asustaba a aquellos espíritus débiles que ven todo de manera negativa y sacan conclusiones desastrosas."
"En la calle del Amor de Dios, en casa del maestro de coches n. 8 se venden un forlon, la caxa á la inglesa, y elejuago á la española, con exes de fierro, y una berlina á la inglesa.","En la calle del Amor de Dios, en la casa del maestro de coches número 8, se están vendiendo un carruaje grande y espacioso de estilo inglés, una caja también al estilo inglés y un juego de ruedas españolas, todas con ejes de hierro. Además, también se encuentra disponible una berlina al estilo inglés.","En la calle del Amor de Dios, en la casa del maestro de coches número 8, se están vendiendo un carruaje grande, la caja también al estilo inglés y un juego de ruedas españolas, todas con ejes de hierro. Además, también se encuentra disponible una berlina al estilo inglés."
"Mañane sabado en el de la Cruz se egecutará la opera cómica nueva en 3 actos titulada el Principe de Catania, la que estará adornada de bayles coros, decoraciones nuevas y de todo aparato teartal, será precedida de una gran sinfonía propia de la misma ópera.  ","Mañana sábado, en el Teatro de la Cruz, se llevará a cabo la representación de una ópera cómica nueva, titulada ""El Príncipe de Catania"", la cual consta de 3 actos. Esta obra estará decorada con bailes, coros y nuevas decoraciones teatrales. Además, será precedida por una gran sinfonía compuesta especialmente para esta ópera.","Mañana sábado, en el Teatro de la Cruz, se llevará a cabo la representación de una ópera cómica nueva, titulada ""El Príncipe de Catania"", la cual consta de 3 actos. Esta obra estará decorada con bailes, coros y nuevas decoraciones teatrales. Además, será precedida por una gran sinfonía compuesta especialmente para esta ópera."
"La Regencia del Reino interesada mul particularmente en conservar la tranquilidad interior de sus pueblos, y facilitar á los que han quedado libres de la dominacion enemiga los medios de detener el curso de los males que les ha acarreado la arbitrariedad con que ha procedido el gobierno intruso en la imposicion y manejo de contribuciones, dispuso que los empleados en la Hacienda pública de esta provincia que emigraron en las últimas invasiones, se presentasen en esta capital luego que dexase de ser oprimida por las tropas francesas.","La Regencia del Reino está especialmente interesada en mantener la tranquilidad interior de sus pueblos y ayudar a aquellos que se han liberado del dominio enemigo a detener los problemas que les ha causado la arbitrariedad del gobierno intruso al imponer y gestionar impuestos. Por eso, decidió que los empleados de la Hacienda pública de esta provincia que emigraron durante las últimas invasiones debían presentarse en esta capital una vez que dejara de estar oprimida por las tropas francesas.","La Regencia del Reino está especialmente interesada en mantener la tranquilidad interior de sus pueblos y ayudar a aquellos que se han liberado del dominio enemigo a detener los problemas que les ha causado el comportamiento del gobierno intruso al imponer y gestionar impuestos. Por eso, decidió que los empleados de la Hacienda pública de esta provincia que emigraron durante las últimas invasiones debían presentarse en esta capital una vez que dejara de estar oprimida por las tropas francesas."
"Dá con la mayor aceleracion todas sus órdenes para evaquar la capital, y los ciegos y criminales sequaces de su partido esperan el estruendo del cañon que habia de avisarles aquella noche el fatal imomento de su partida.",El líder da rápidamente todas sus órdenes para evacuar la capital. Los seguidores ciegos y criminales de su partido esperan el sonido del cañón que les avisará esa noche el momento fatal de su partida.,Da rápidamente todas sus órdenes para evacuar la capital. Los incondicionales y criminales seguidores de su partido esperan el sonido del cañón que les avisará esa noche el momento fatal de su partida.
"El hojalatero de la calle de Jacometrezo junto al bodegon que hace esquina á la del Olivo alto, dará razon de una buena sala y alcoba para uno ó dos caballeros, con asistencia.","El carpintero de la calle de Jacometrezo, al lado de la tienda de vinos que está en la esquina con la calle del Olivo alto, ofrecerá información sobre una buena sala y dormitorio para uno o dos hombres, con servicio incluido.","El vendedor de hojalata de la calle de Jacometrezo, al lado de la taberna que está en la esquina con la calle del Olivo alto, ofrecerá información sobre una buena sala y dormitorio para uno o dos hombres, con servicio incluido."
"Antonia Ximenez viuda, de edad de 26 años desea servir en alguna casa decente para guisar, coser y aplanchar; está impuesta en el gobierno de casa y tiene personas conocidas que acreditarán su conducta; en la tienda de hierro de la plazuela de Anton Martin frente de la fuente darán razon.","Antonia Ximenez es una viuda de 26 años que desea trabajar en una casa respetable para cocinar, coser y planchar. Tiene experiencia en el manejo de una casa y puede proporcionar referencias de personas conocidas que avalarán su buen comportamiento. Pueden obtener más información sobre ella en la tienda de hierro ubicada en la plazuela de Anton Martin, frente a la fuente.","Antonia Ximenez es una viuda de 26 años que desea trabajar en una casa respetable para cocinar, coser y planchar. Tiene experiencia en el manejo de una casa y puede proporcionar referencias de personas conocidas que avalarán su buen comportamiento. Pueden obtener más información sobre ella en la tienda de hierro ubicada en la plazuela de Anton Martin, frente a la fuente."
"Espacieronse noticias el 25 de lque los ingleses y los españoles se aproximan, y la turbacion y el terror se apoderan de los corazones de los decantados vencedores de Austerliz y de Marengo.",El 25 de l se difundieron noticias de que los ingleses y los españoles se están acercando. Esto ha causado turbación y terror en los corazones de los victoriosos de Austerliz y Marengo.,El día 25 se difundieron noticias de que los ingleses y los españoles se están acercando. Esto ha causado desconcierto y terror en los corazones de los victoriosos de Austerliz y Marengo.
"Con permiso del casero se traspasa la lonja sita en la plazuela de santo Domingo, esquina á la calle de los Tudescos, que hace frente á los Caños del Peral una puerta, y á la subida de los Angeles la otra.","Se traspasa la lonja que está en la plazuela de Santo Domingo, en la esquina de la calle de Los Tudescos. La lonja está frente a los Caños del Peral en una puerta, y frente a la subida de Los Ángeles en otra. Se traspasa con permiso del casero.","Se traspasa la lonja que está en la plazuela de Santo Domingo, en la esquina con la calle de Los Tudescos. La lonja está frente a los Caños del Peral en una puerta, y frente a la subida de Los Ángeles en otra. Se traspasa con permiso del casero."
"En el Despacho principal de este Periodico, darán razon de un sugeto que pasa á Cadiz en silla de posta, en los primeros dias de la proxima semana, y busca un compañero.","En la oficina central de este periódico, informarán sobre una persona que viaja a Cádiz en una silla de posta, durante los primeros días de la próxima semana, y está buscando un compañero.","En la oficina central de este periódico, informarán sobre una persona que viajará a Cádiz en un carruaje durante los primeros días de la próxima semana, y está buscando un compañero."
"En la calle de Leganitos, nu n. 22, casa llamada del Arahud, quar488 to 3.º, se hallan de venta muchos muebles bien tratados y de gusto, que se darán con equidad.","En el número 22 de la calle Leganitos, se encuentra a la venta una casa conocida como ""del Arahud"", en el quarto piso número 3. Aquí se pueden encontrar muchos muebles en buen estado y con estilo, que se venderán de manera justa.","En la casa llamada Arahud, del número 22 de la calle Leganitos, se venden a precio ajustado muchos muebles en buen estado y con estilo."
"Sobre la analogia con que el Señor Salanoba quiere probarnos la hipotesis que adopta, de que los panes de oro reducidos á tenuisimos pedazos, ascienden con facilidad, diré que no ascienden sino en la mayor proximidad de materia electrica, pero aunque esto sea así, lo 1119 que no está probado, pues era menester demostrar antes la exitencia de estos pretendidos corpusculos metálicos, y hacer de manera que fuera abundantisima la porcion de los que se desprendan á efecto de la percusion; semejantes sutilezas serán una remota probabilidad que se quiere dar por prueba de otra probabilidad, lo que en buena logica es no probar nada.","El Señor Salanoba quiere probar la hipótesis de que los panes de oro reducidos a pequeñísimos pedazos ascienden fácilmente. Sin embargo, esto solo ocurre en la proximidad de materia eléctrica, lo cual no ha sido demostrado. Antes de probar esto, es necesario demostrar la existencia de estos supuestos corpúsculos metálicos y asegurarse de que se desprendan en gran cantidad al ser golpeados. Estas sutilezas son una remota posibilidad que se utiliza como prueba de otra posibilidad, lo cual no prueba nada en una buena lógica.","El Señor Salanoba quiere probar la hipótesis de que las finas láminas de oro reducidas a pequeñísimos pedazos ascienden fácilmente. Diré que esto solo ocurre en la proximidad de materia eléctrica, lo cual no ha sido demostrado. Antes de probar esto, es necesario demostrar la existencia de estos supuestos pequeños pedazos metálicos y asegurarse de que se desprendan en gran cantidad al ser golpeados. Estas sutilezas son una remota posibilidad que se utiliza como prueba de otra posibilidad, lo cual por lo tanto no prueba nada."
